date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,73.23397084,1397.5949,
1961-12-31,77.74196904,1472.3858,2.6771
1962-12-31,81.24756765,1525.7759,1.1029
1963-12-31,86.56196553,1613.457,4.8744
1964-12-31,94.40756241,1748.2882,5.5337
1965-12-31,101.8247595,1873.5679,2.1422
1966-12-31,108.5727568,1986.7472,1.5731
1967-12-31,113.1168821,2058.7818,2.7865
1968-12-31,107.7599139,1951.7587,5.4411
1969-12-31,116.464707,2100.6679,1.9241
1970-12-31,130.6822956,2347.7302,6.68
1971-12-31,148.1066019,2649.671,3.5047
1972-12-31,169.969084,3030.5047,4.3217
1973-12-31,192.551677,3426.5201,6.5238
1974-12-31,206.152361,3666.2361,-2.4844
1975-12-31,241.7346213,4299.3541,-1.4736
1976-12-31,232.6104455,4138.0947,2.9103
1977-12-31,263.0793066,4681.6686,2.4578
1978-12-31,335.8800784,5976.8857,4.2043
1979-12-31,439.0115809,7805.0734,3.749
1980-12-31,564.9542769,10032.1787,-2.0314
1981-12-31,540.7207612,9598.5089,-0.7877
1982-12-31,515.0067803,9145.3291,1.9949
1983-12-31,489.5997643,8691.195,4.2219
1984-12-31,461.4830056,8179.1219,2.2691
1985-12-31,489.2562812,8651.7058,4.1474
1986-12-31,601.4550042,10611.1537,3.1503
1987-12-31,745.1303384,13118.0184,5.3927
1988-12-31,910.1710307,15988.0165,5.7324
1989-12-31,926.9261432,16240.0062,2.5776
1990-12-31,1093.21371,19096.2412,0.7338
1991-12-31,1142.766274,19900.1885,-1.1031
1992-12-31,1179.713015,20488.0997,0.4011
1993-12-31,1061.457884,18390.2178,2.4898
1994-12-31,1140.443311,19708.4356,3.846
1995-12-31,1346.252041,23203.6289,2.5317
1996-12-31,1421.711933,24441.9199,1.9077
1997-12-31,1561.715128,26779.7788,4.5241
1998-12-31,1654.996608,28296.7603,3.1573
1999-12-31,1689.407711,28788.9693,3.0141
2000-12-31,1666.048767,28289.6527,4.0927
2001-12-31,1648.765214,27888.6051,2.1574
2002-12-31,1785.781373,30078.6081,1.7708
2003-12-31,2056.704587,34480.9411,3.1231
2004-12-31,2423.047347,40392.2649,2.345
2005-12-31,2544.813166,42131.8271,2.6683
2006-12-31,2709.978166,44537.7123,2.1604
2007-12-31,3092.996468,50438.2296,2.5635
2008-12-31,2931.683721,47432.8791,-0.1543
2009-12-31,2417.56571,38820.0146,-4.5105
2010-12-31,2491.397494,39693.1939,2.4301
2011-12-31,2666.403005,42150.6981,1.0676
2012-12-31,2706.340967,42485.5861,1.4485
2013-12-31,2786.315215,43449.0917,1.8199
2014-12-31,3065.22328,47447.5889,3.1997
2015-12-31,2934.857946,45071.0743,2.3931
2016-12-31,2699.659681,41146.0774,2.1652
2017-12-31,2683.488511,40622.6894,2.4436
2018-12-31,2878.152147,43306.3083,1.705
2019-12-31,2857.057848,42747.0805,1.6043
2020-12-31,2704.60916,40318.4169,-11.0309
2021-12-31,3122.480346,46585.8976,7.5975
2022-12-31,3070.667732,45850.4261,4.1016
